,Area Name,Pin Code,Latitude,Longitude
0,Ajmeri Gate Extension,110002,28.643660000000068,77.22883000000007
1,A G C R,110002,28.630798037285533,77.27580261992854
2,Ansari Road,110002,28.646000000000072,77.24387000000007
3,Aliganj,110003,28.583540000000028,77.21856000000008
4,Anand Parbat,110005,28.66596000000004,77.17322000000007
5,Anand Nagar,110005,28.67449000000005,77.16756000000004
6,Army Base,110010,28.64617000000004,77.17691000000008
7,A P S Colony,110010,28.575230000000033,77.17823000000004
8,A F Palam,110010,28.591060000000027,77.09117000000003
9,Ashram,110016,28.717960000000062,77.00396000000006
10,Ashok Nagar,110018,28.692230000000052,77.30124000000006
11,Ashoka Hotel,110021,28.653030000000058,77.19165000000004
12,Anand Niketan,110021,28.575550000000078,77.16103000000004
13,Amar Colony,110024,28.678440000000023,77.04939000000007
14,Adarsh Nagar,110033,28.720350000000053,77.17264000000006
15,A T Mills,110033,29.68399000000005,76.99117000000007
16,Anandvas Shakurpur,110034,28.682240000000036,77.13977000000006
17,Alipur,110036,28.798050000000046,77.14426000000003
18,A F Rajokari,110038,28.519370000000038,77.12126000000006
19,Ambrohi,110045,28.634100000000046,77.21689000000003
20,Arjan Garh,110047,28.47992000000005,77.12542000000008
21,Asian Games Village,110049,28.553310000000067,77.21457000000004
22,Andrews Ganj,110049,28.56344000000007,77.22897000000006
23,Azad Nagar,110051,28.664210000000026,77.28112000000004
24,Anarkali,110051,28.69321000000008,77.17190000000005
25,Ashok Vihar H O,110052,28.410000000000025,77.84245000000004
26,Amrit Kaur Market,110055,28.643040000000042,77.21818000000007
27,Ambedkar Nagar,110062,28.519490000000076,77.23500000000007
28,Bank Street,110005,28.652902825204322,77.19044619513477
29,Bara Tooti,110006,28.659770000000037,77.21326000000005
30,Birla Lines,110007,28.676210000000026,77.19716000000005
31,Bazar Road,110010,28.629763949067623,77.2315341675886
32,Bhola Nath Nagar,110032,28.67201799292467,77.28861502968259
33,Balbir Nagar,110032,28.682480000000055,77.28964000000008
34,Bhaiparma Nand Nagar,110033,28.696710000000053,77.30385000000007
35,Bawana,110039,28.800590000000057,77.03473000000008
36,Budh Nagar,110041,28.634010000000046,77.14338000000004
37,Badli,110042,28.73165000000006,77.13406000000003
38,Badarpur T P Station,110044,28.50738000000007,77.30346000000003
39,Badarpur,110044,28.50738000000007,77.30346000000003
40,Bakrola,110045,28.639220000000023,77.01251000000008
41,Bharat Nagar,110052,28.566320000000076,77.27011000000005
42,Bhajanpuri,110053,28.699880000000064,77.25906000000003
43,Brahampuri,110053,28.653670000000034,77.03125000000006
44,Bijwasan,110061,28.53191000000004,77.05236000000008
45,B S F Camp Tigri,110062,28.51021000000003,77.23745000000008
46,Bhajan Pura,110096,28.699880000000064,77.25906000000003
47,Connaught Place,110001,28.633940000000052,77.21968000000004
48,Constitution House,110001,28.61982000000006,77.21258000000006
49,Chawri Bazar,110006,28.648580000000038,77.23071000000004
50,Chandni Chowk,110006,28.656270000000063,77.23232000000007
51,C C Institute,110007,28.69804000000005,77.20606000000004
52,Central Ordinance,110010,28.596380000000067,77.13301000000007
53,Central Vehicle,110010,28.64711155400005,77.21976454300005
54,Central Tractor,110012,28.64711155400005,77.21976454300005
55,Central Kirti Nagar,110015,28.65298000000007,77.14217000000008
56,Chand Nagar,110018,28.648070000000075,77.09646000000004
57,C R R I,110020,28.653810000000078,77.22897000000006
58,Chankyapuri,110021,28.595060000000046,77.18573000000004
59,Civil Lines,110054,28.67671000000007,77.21767000000006
60,C R P F Camp,110054,25.578260000000057,91.89514000000008
61,Chhawla,110071,28.55782000000005,77.00172000000003
62,Chilla Villege,110094,28.60438489462531,77.29702769709681
63,Darya Ganj,110002,28.62832000000003,77.24727000000007
64,Delhi High Court,110003,28.75243000000006,77.19747000000007
65,Desh Bandhu Gupta Road,110005,28.64518000000004,77.21281000000005
66,Delhi Sadar Bazar,110006,28.59051000000005,77.12026000000003
67,Delhi G P O,110006,28.634100000000046,77.21689000000003
68,Delhi Cloth Mills,110006,28.66044000000005,77.21833000000004
69,Dareeba,110006,28.644090000000062,77.21629000000007
70,Delhi University,110007,28.69103000000007,77.21385000000004
71,Dada Ghosh Bhawan,110008,28.653020000000026,77.15575000000007
72,Depot,110010,28.70035000000007,77.28725000000003
73,Dhaula Khuan,110010,28.593500000000063,77.16350000000006
74,Delhi Cantt,110010,28.591510000000028,77.12945000000008
75,Defence Head Qrs,110011,28.61004157396944,77.2266794076015
76,Dargah Shareef,110013,28.678360000000055,77.30422000000004
77,D I Area,110015,28.634100000000046,77.21689000000003
78,Defence Colony,110024,28.57298000000003,77.23357000000004
79,Dilshad Garden,110032,28.679040000000043,77.31476000000004
80,Distt Courts,110054,28.70658000000003,77.13277000000005
81,Dakshinpuri Phase III,110062,28.528490000000033,77.23264000000006
82,Dakshimpuri Phase I,110062,28.528490000000033,77.23264000000006
83,D D A Munirka,110067,28.555040000000076,77.17132000000004
84,D D A Salam,110072,28.70796000000007,77.25572000000005
85,Eastern Court,110001,28.62321000000003,77.21918000000005
86,Election Commission,110001,28.62366000000003,77.21224000000007
87,E S I Hospital,110015,28.72715000000005,77.12578000000008
88,East Of Kailash,110065,28.55633000000006,77.24909000000008
89,Farashkhana,110006,28.653190000000052,77.22094000000004
90,Fatehpuri,110006,28.65488000000005,77.22146000000004
91,Fateh Nagar,110018,28.631470000000036,77.10316000000006
92,Flatted Factories Complex,110020,28.674300000000073,77.32078000000007
93,Gandhi Samarak,110002,23.200000000000045,74.45289000000008
94,Golf Links,110003,28.603040000000078,77.23269000000005
